Name,Mana Cost,Types,Power,Toughness,Text,Rarity,Color,Faction,
Rising Champion,1W,Creature - Insect Knight,2,2,"Multikicker W; For each time it is kicked, you may give ~ an Absorb 1, Flying, or +1/+1 counter. Choose each one once",U,White,Hive Courts,
Living Bog,W,Creature - Elemental,1,1,Sacrifice ~: PTE; Conjuration 2,U,White,Arcanum,
Bodyguard Beetle,2W,Creature - Insect Knight,2,2,Flash; Armor 1,U,White,Hive Courts,
Fertile Sporesower,2W,Creature - Fungus,2,2,"Sporeborn; When ~ CITP, return target creature with CMC <= 2 from your GY to the battlefield",U,White,Shroomin,
Soul Warden,W,Creature - Human Cleric,1,1,"When another creature ETBs, gain 1 life",U,White,FCP,
Hive Lancer,WW,Creature - Insect Knight,2,2,First Strike,U,White,Hive Courts,
Ascendant Champion,3W,Creature - Insect Knight,2,2,Flying; Armor 1; Monstrous 3: 1W,U,White,Hive Courts,
Hercules Knight,4W,Creature - Insect Knight,5,5,Armor 1; First Strike,U,White,Hive Courts,
Hymn of Serenity,2W,Enchantment,,,"At the beginning of your precombat, choose target creature.  That creature cannot attack or block as long as ~ remains in play.  No more than X creatures can be chosen this way.",U,White,Arcanum,
Rampaging Goliath,5WW,Creature - Insect,6,6,Armor 4; ~ must attack or block each turn if able,U,White,Hive Courts,
Recumbent Bliss,2W,Enchantment - Aura,,,"Enchant creature
Enchanted creature can't attack or block.
At the beginning of your upkeep, you may gain 1 life.",U,White,,
Hymn of Glory,2WW,Enchantment,,,Creatures you control get +X/+X,R,White,Arcanum,
Wise Logistician,1W,Creature - Insect,2,2,Flying; Counters cannot be placed on players or permanents,R,White,Hive Courts,
Scales of Justice,2W,Sorcery,,,"If an opponent has more lands, fetch a Plains. More creatures, make a 1/1 Insect Soldier. More life, gain 2 life; Retrace",R,White,Hive Courts,
Rune-graven Oathsworn,2W,Creature - Insect Knight,3,3,"Monstrous 2: 2W; Monstrous 3: WW; When this becomes monstrous, if it has three +1/+1 counters on it, it becomes permanently goaded and cannot block. Put a flying counter and 2 Absorb 1 counters on it.  Otherwise it gains a First Strike, Flying, and Absorb 1 counter.",R,White,Hive Courts,
Martial Law,2WW,Enchantment,,,blah blah blah,R,White,Hive Courts,
Battle-hardened Knight,WWW,Creature - Insect Knight,4,4,First Strike,R,White,Hive Courts,
General Khazgrakk,3WW,Legendary Creature - Insect Knight,4,4,"Armor 2; On your turn, your opponents cannot cast spells or activate abilities; Sacrifice ~: Other creatures you control gain indestructible until EOT",R,White,Hive Courts,
Royal Emissary,2W,Creature - Insect Wizard,1,3,"Flying; T: Untap target non-Wizard creature. If it is an Insect and it is your combat phase, there is an additional combat phase after this one.",R,White,Hive Courts,
Purifying Wind,3WW,Creature - Elemental,3,3,Exile ~: WoG; Conjuration 3,R,White,Arcanum,
Elder of Persistence,2W,Creature - Fungus,2,2,Sporeborn;  T: Proliferate or Evaporate,R,White,Shroomin,
Stone Guard,G,Creature - Elemental,2,2,Sacrifice ~ to put a +1/+1 counter on target creature. Conjuration 1,C,Green,Arcanum,
Lash Vine,1G,Creature - Plant,2,2,Propagation; Rooted; Prevent the first source of damage ~ would receive each turn; ~ must be blocked if able,C,Green,Verdant Tide,
Root Cluster,G,Creature - Plant,0,2,Propagation; Rooted,C,Green,Verdant Tide,
Shroomin Grunt,G,Creature - Fungus,1,1,Sporeborn,C,Green,Shroomin,
Striving Sprite,1G,Creature - Elemental,2,2,Reach,C,Green,Arcanum,
Chloroplastic Clone,G,Creature - Plant,0,0,~ ETBs as a copy of any token you control. It is a Green Plant,C,Green,Verdant Tide,
Oaken Brawler,2G,Creature - Treefolk,4,3,Reach; Defender; Rooted,C,Green,Verdant Tide,
Undergrowth Gang,3G,Creature - Fungus,3,3,"When ~ dies, create 2 1/1 W Shroomin Tokens with Toxic 1. Sporeborn",C,Green,Shroomin,
Pollenator Flower,2G,Creature - Plant,2,3,"Propagation; Rooted; When ~ attacks, put a -1/-1 counter on up to two target tapped creatures",C,Green,Verdant Tide,
Aggressive Instinct,1G,Sorcery,,,Target creature you control deals damage equal to its power to target creature you don't control.,C,Green,,
Weed Eater,1G,Creature - Plant,2,1,Propagation; Rooted,C,Green,Verdant Tide,
Seedspitter,G,Creature - Plant,1,2,"Propagation; Rooted; When ~ attacks, it deals 1 damage to target player",C,Green,Verdant Tide,
Mitotic Growth,2G,Sorcery,,,Make a copy of target creature token; Retrace,C,Green,Verdant Tide,
Seed cannon,1G,Creature - Plant,2,2,"Propagation; Rooted; Reach; When ~ attacks, it deals 1 damage to target creature or player",C,Green,Verdant Tide,
Aether Vine,1G,Creature - Plant,1,1,"Propagation; Rooted; When ~ ETBs, destroy target Artifact or Enchantment",C,Green,Verdant Tide,
Chant of Growth,G,Enchantment,,,"At the beginning of combat, give target creature +X/+X",C,Green,Arcanum,
Treant Linebreaker,4GG,Creature - Treefolk,6,6,Trample,C,Green,Verdant Tide,
Growth Herald,G,Creature - Plant,1,1,Rooted; Other Plants you control get +1/+1,U,Green,Verdant Tide,
Elder of Hope,2G,Creature - Fungus,2,2,"Sporeborn; T: Look at the top card of your library, if it is a Shroomin, you may suspend it with 3 counters",U,Green,Shroomin,
Fungal Cleanser,1G,Creature - Fungus,1,1,"Sporeborn; When ~ ETBs, you may destroy an artifact or enchantment",U,Green,Shroomin,
Deepvine Connection,2G,Enchantment,,,Pay 1 life: Prevent the next 1 damage that would be dealt to target creature you control,U,Green,Verdant Tide,
Earthen Wisdom,2GG,Sorcery,,,Draw a card for each green creature card you control,U,Green,Verdant Tide,
Seed Cannon,2G,Creature - Plant,2,2,"Propagation; Rooted; When ~ attacks, it deals 1 damage to any target. You may put a stun counter on it. If you do, it gains Deathtouch until EOT",U,Green,Verdant Tide,
Shroomin Harvester,1GG,Creature - Fungus,2,1,"Sporeborn; When ~ ETBs, return a card from your graveyard to your hand",U,Green,Shroomin,
Hurricane Spirit,2G,Creature - Elemental,2,4,Reach; Exile ~: Rabid Bite; Conjuration 2,U,Green,Arcanum,
Nascent Treant,G,Creature - Treefolk,1,1,"When a you create a creature token, put a +1/+1 counter on ~",U,Green,Verdant Tide,
Fungal Decomposition,1G,Sorcery,,,Destroy target artifact or enchantment; Retrace,U,Green,Shroomin,
Ground Bloom,1G,Sorcery,,,"As an additional cost to cast ~, return X lands you control to their owner's hand.  Create a copy of target creature token you control.  Repeat this X times, then an additional time for each of those lands that was untapped",U,Green,Verdant Tide,
Root Mitigation,G,Instant,,,Regenerate target creature; Retrace,U,Green,Verdant Tide,
Chant of Dedication,2G,Enchantment,,,"At the beginning of combat, up to X creatures Regenerate",U,Green,Arcanum,
Elder of Wisdom,2G,Creature - Fungus,2,2,"Sporeborn; When ~ CITP, draw a card",U,Green,Shroomin,
Greedy Chloroplast,G,Creature - Plant,1,1,"Propagation; Rooted; When ~ attacks, put a +1/+1 counter on target Plant you control",R,Green,Verdant Tide,
Mycoloth,5G,Creature - Fungus,0,0,"When ~ takes damage, for every 2 damage, create that many 1/1 W Shroomin tokens with Toxic 1 and Wither; CITP with 6 +1/+1 counters",R,Green,Shroomin,
Overgrown Cluster,1GG,Creature - Plant,1,2,"Propagation; At the end of your turn, gain a life for each plant you control",R,Green,Verdant Tide,
Fungal Behemoth,3G,Creature - Fungus,0,3,blah blah blah,R,Green,Verdant Tide,
Surge of Growth,3G,Sorcery,,,Create a tapped copy of each creature token you control,R,Green,Verdant Tide,
Fungal Colony,XG,Creature - Fungus,0,0,CITP with w +1/+1 counters; Remove a +1/+1 counter to create a 1/1 W Shroomin Tokens with Toxic 1. Activate only as a sorcery; Defender,R,Green,Shroomin,
Chant of Savagery,3G,Enchantment,,,"At the beginning of combat, put X +1/+1 counters on target creature",R,Green,Arcanum,
Galeforce Elemental,3GG,Creature - Elemental,4,4,Exile ~: CoCo; Conjuration 3,R,Green,Arcanum,
Master Root Hub,GGG,Legendary Creature - Plant,0,5,Tap 3 untapped Plants you control: Draw a card,R,Green,Verdant Tide,
Highbough Strategist,2GG,Creature - Treefolk,3,3,Reach; Rooted; Sacrifice a Plant token: Regenerate target Plant,R,Green,Verdant Tide,
Aria of Readiness,U,Enchantment,,,"Each of your upkeeps, scry X",C,Blue,Arcanum,
Turn Back the Clock,1U,Instant,,,Evaporate; Retrace,C,Blue,Wanderer,
Clockspinning,U,Instant,,,Buyback; Choose a counter on target permanent or suspended card. Remove that counter from that permanent or card or put another of those counters on it.,C,Blue,Wanderer,
Cancel,1UU,Instant,,,Counter target spell,C,Blue,,
Winged Ghoul,2U,Creature - Human,2,2,Flying; Fleshcraft 1U,C,Blue,FCP,
Recursive Logic,U,Sorcery,,,Draw a card. Exile ~ with 3 Time counters and it gains suspend,C,Blue,Wanderer,
Cowardice Sprite,1U,Creature - Elemental,1,1,Flying; 0: Untap ~ and remove it from combat,C,Blue,Arcanum,
Armament Gatherer,U,Creature - Avatar,1,1,"At the beginning of your upkeep, Scry X where X is the amount of equipment attached to creatures you control plus the amount of auras enchanting creatures you control",C,Blue,Wanderer,
Ephemeral Force,4U,Creature - Wizard,6,6,"ETBs with 4 fade counter on it. When the last is removed, sacrifice ~",C,Blue,Wanderer,
Repeated Failure,3UU,Instant,,,Counter target spell; Retrace,C,Blue,Wanderer,
Mesmerize,1U,Sorcery,,,Tap and distribute 2 Stun counters among up to 2 target creatures,C,Blue,,
Mesmeric Walker,1U,Creature - Human,1,2,"Fleshcraft U; When ~ fleshcrafts, tap target creature and put a stun counter on it",C,Blue,FCP,
Finned Colossus,4UU,Creature - Human,6,6,"When ~ attacks, unless the defending player controls an Island, put a stun counter on ~",C,Blue,FCP,
Reverse Time,1UU,Instant,,,Counter target spell; Evaporate,C,Blue,Wanderer,
Second Stutter,U,Instant,,,"As an additional cost to cast ~, return X lands you control to your hand; Counter target spell unless its control pays 1 + X",C,Blue,Wanderer,
Syncopate,XU,Instant,,,"Counter target spell unless its controller pays X. If it is countered this way, exile it",C,Blue,,
Temporary Blindness,U,Instant,,,Target creature gets -2/-0; Retrace,C,Blue,FCP,
Time to Think,U,Instant,,,"Put a stun counter on X creatures you control.  Scry X, then draw a card",C,Blue,Wanderer,
Breeze Mephit,U,Creature - Elemental,1,1,Flying; Exile ~: Put a flying counter on target creature; Conjuration 1,C,Blue,Arcanum,
Moment to Think,1U,Sorcery,,,"As an additional cost to cast ~, return a land you control to your hand; Draw 2 cards",C,Blue,Wanderer,
Blinking Shade,1U,Creature - Wizard,1,1,Unblockable,C,Blue,Wanderer,
Disruptive chronomage,U,Creature - Wizard,1,1,T: Tap target creature,U,Blue,Wanderer,
Paradox Haze,2U,Enchantment,,,You get an additional Upkeep,U,Blue,Wanderer,
Foul Transmogrifant,2U,Creature - Human,2,2,"Fleshcraft 1U; The first time ~ is the target of a spell or ability an opponent controls each turn, counter that spell or ability",U,Blue,FCP,
Brain Crawler,3U,Creature - Human,3,3,"Fleshcraft 2U; When ~ deals combat damage to a player, draw a card.",U,Blue,FCP,
Storm Elemental,1UU,Creature - Elemental,2,1,Exile ~: Counter target spell; Conjuration 2,U,Blue,Arcanum,
Herald of Fate,U,Creature - Wizard,1,1,Other Wizards and Avatars you control get +1/+1,U,Blue,Arcanum,
Withered Wisdom,2U,Sorcery,,,"For each -1/-1 counter on creatures you control, and each poison counter on you, target player draws a card",U,Blue,,
Fading Chronomancer,U,Creature - Wizard,1,1,"4UU, T, Sacrifice ~: End the turn",U,Blue,Wanderer,
Reality Strobe,U,Sorcery,,,"Return target permanent to its owner's hand. Exile Reality Strobe with three time counters on it.

Suspend 3—2U",U,Blue,Wanderer,
Timespace Assassin,1U,Creature - Wizard,2,2,"When a time counter is added to or removed from a spell you control, this gets +1/+1 until EOT for each counter.",U,Blue,Wanderer,
Aria of Sloth,2U,Enchantment,,,"At the beginning of your precombat, tap up to X creatures and put a stun counter on them.",U,Blue,Arcanum,
Time Stop,4UU,Instant,,,End the turn,R,Blue,Wanderer,
Knowledge Seeker,1U,Creature - Avatar,1,1,"~ gets +1/+1 for each spell, permanent, or card with a time counter on it",R,Blue,Wanderer,
Phantasmal Image,1U,Creature - Illusion,0,0,blah blah,R,Blue,Wanderer,
Sweatsoaked Sentry,U,Creature - Human,1,1,Fleshcraft 2U; Hexproof,R,Blue,FCP,
Aeon Chronicler,3UU,Creature - Avatar,*,*,blah blah,R,Blue,Wanderer,
Mistborn Army,0,Sorcery,,,"Suspend XU; When a time counter is removed from ~, create a 1/1 Wizard Illusion token with '~ gets +1/+0 for each other Wizard Illusion token'; Exile all Wizard Illusion tokens you control",R,Blue,Wanderer,
Shadow of the Wanderer,3U,Legendary Creature - Wizard Avatar,2,4,"When casting a spell from somewhere other than your hand, copy it. Tokens sac at EOT",R,Blue,Wanderer,
Dream Puppeteer,3UU,Creature - Elemental,1,4,Unblockable; Exile ~: Mind Control; Conjuration 3,R,Blue,Arcanum,
Aria of Decadence,3U,Enchantment,,,"At the beginning of your upkeep, draw X, then discard a card",R,Blue,Arcanum,
Ichor-dripper,1B,Creature - Fungus,2,1,Sporeborn; Deathtouch,C,Black,Shroomin,
Venomous Crawler,B,Creature - Human,1,1,Deathtouch; Fleshcraft 0,C,Black,FCP,
Maim,B,Instant,,,Put 2 -1/-1 counters spread among up to two target creatures,C,Black,,
Corruption Creeper,2B,Creature - Elemental,3,2,,C,Black,Arcanum,
Wall-mounted Horror,1B,Creature - Human,3,2,"Defender; B: Regenerate; When ~ is Fleshcrafted, it loses Defender; Fleshcraft B",C,Black,FCP,
Corpse Collector,1B,Creature - Worm,2,2,"Burrow; When another creature dies, gain 1 life",C,Black,Morlocks,
Sacrificial Sprite,1B,Creature - Elemental,1,1,Sacrifice ~: Target player sacrifices a creature,C,Black,Arcanum,
Mayhem's Wake,B,Sorcery,,,"As an additional cost to cast ~, delve X. Place X -1/-1 counters spread among up to X target creatures",C,Black,,
Lurching Colossus,5B,Creature - Human,6,6,Fleshcraft 3B,C,Black,FCP,
Devour Flesh,1B,Instant,,,blah blah,C,Black,,
Innocent Blood,B,Sorcery,,,Each player sacrifices a creature,C,Black,,
Torrential Spirit,B,Creature - Elemental,1,1,Intimidate;  Exile ~: Put an Intimidate counter on target creature; Conjuration 1,C,Black,Arcanum,
Till the Soil,B,Instant,,,Exile target card from a graveyard; Retrace,C,Black,Morlocks,
Mending Monstrosity,B,Creature - Human,1,1,B: Regenerate; Fleshcraft 0,C,Black,FCP,
Poison Creeper,3B,Creature - Plant,1,1,Deathtouch; Propagation,C,Black,Verdant Tide,
Dirge of Squalor,B,Enchantment,,,"Each of your upkeeps,  remove up to X counters",C,Black,Arcanum,
Chain Devolution,XB,Sorcery,,,"As an additional cost, you may sacrifice any number of creatures. If you do, create a copy for each sacrificed creature. These copies may select different targets; Target creature gets -X/-X until EOT. ",C,Black,,
Go for the Throat,1B,Instant,,,Destroy target non-artifact creature,C,Black,,
Murder,1BB,Instant,,,Destroy target creature,C,Black,,FCP
Rotgorger,B,Creature - Fungus,1,1,Sporeborn - Exile a card from an opponent's GY,C,Black,Shroomin,Morlock
Howling Wind,1B,Creature - Elemental,2,2,Exile ~: Doom Blade; Conjuration 2,U,Black,Arcanum,
Gorging Golem,2B,Creature - Human,1,1,B: ~ gets +1/+1 until EOT; Fleshcraft 1B,U,Black,FCP,
Herald of Flesh,B,Creature - Human,1,1,Humans you control get +1/+1,U,Black,FCP,
Elder of Wrath,2B,Creature - Fungus,2,2,Sporeborn; 1B: Put a -1/-1 counter on a creature,U,Black,Shroomin,
Thirsting Wretch,3B,Creature - Human,3,3,Fleshcraft 1B; Lifelink,U,Black,FCP,
Cackling Fleshcrafter,1B,Creature - Human Cleric,2,2,"Whenever you Fleshcraft, put a +1/+1 counter on the creature",U,Black,FCP,
Dirge of Decay,2B,Enchantment,,,"At the beginning of your upkeep, place up to X -1/-1 counters",U,Black,Arcanum,
Chitin Herald,B,Creature - Worm,1,1,Armor 1; Burrow; Suspend 2: 0; Other Worms you control get +0/+1,U,Black,Morlocks,
Spinal Armorcrawler,1B,Creature - Human,1,1,"Fleshcraft 2B; If ~ would die, and is fleshcrafted, you may remove this card from the game instead",U,Black,FCP,
Uterine Mass,3B,Creature - Human,2,4,"Fleshcraft 2B; At the beginning of your upkeep, make a 0/1 colorless Flesh pile creature token",U,Black,FCP,
Shambling Mycoloth,3B,Creature - Fungus,2,4,Sporeborn; Deathtouch; ~ can block an additional creature,U,Black,Shroomin,
Poison Talons,B,Instant,,,Target creature gets Deathtouch until EOT; Retrace,R,Black,FCP,
Dirge of Greed,3B,Enchantment,,,"At the beginning of your upkeep, pay X life and draw X cards",R,Black,Arcanum,
Exiled Freeblade,2BB,Creature - Insect Knight,4,4,"Armor 2; Whenever a creature card dies, you pay pay 1 life. If you do, draw a card",R,Black,Hive Courts,
Profane Ritual,1BB,Enchantment,,,"At the beginning of your upkeep, each player sacrifices a creature. For each player who can't you lose a life",R,Black,FCP,
Cruel Accountant,3B,Creature - Worm,3,3,Armor 1; Burrow; Suspend 2R; Pay 1 life: Remove a Time counter from a suspended spell you control,R,Black,Morlocks,
Corpsedrinker Roots,2B,Creature - Plant,1,1,"Propagation; When a creature token dies, put a +1/+1 counter on ~",R,Black,Verdant Tide,
Deathcloud Fungus,1BB,Creature - Fungus,2,2,"Sporeborn; When a creature an opponent controls dies, create a 1/1 Green Fungus creature token for each -1/-1 counter on it",R,Black,Shroomin,
Gravesoil Elemental,3BB,Creature - Elemental,3,3,Exile ~: Return target creature from a graveyard to play under your control,R,Black,Arcanum,
Romulus,B,Legendary Creature - Human,1,1,"0: ~'s base P/T become 1/1 and it loses any other abilities gained through this ability. Then you may change its base P/T to 3/3, or you may give it flying, vigilance, lifelink, first strike, or deathtouch. Activate this ability only if you control a Human Cleric. This costs 1 more for each prior time it was used this phase",R,Black,FCP,
"Blood, Sweat, and Tears",1B,Enchantment,,,Pay 4 life: Proliferate,R,Black,FCP,
Adrenaline Rush,R,Instant,,,Target creature gets +2/+0 and haste until EOT; Retrace,C,Red,Morlocks,
Tunnel Mite,R,Creature - Pest,1,1,Armor 1,C,Red,Morlocks,
Growth Hormones,1R,Instant,,,Target creature gets +1/+0 and first strike until EOT; Retrace,C,Red,Morlocks,
Periodic Fervor,2R,Sorcery,,,Creatures you control get +1/+0 until EOT. Remove ~ from the game with 3 Time counters on it. It gains suspend,C,Red,Wanderer,
Vitriolic Sprite,1R,Creature - Elemental,1,1,Sacrifice ~: Deal 2 damage to target creature,C,Red,Arcanum,
Arcane Explosion,R,Instant,,,Sacrifice X Elemental creatures as you cast ~.  ~ deals 2 + the number of creatures to any target,C,Red,Arcanum,
Hatchling Apprentice,R,Creature - Worm,2,1,Burrow; Suspend 2: 0,C,Red,Morlocks,
Spitting Fleshhound,1R,Creature - Human,2,1,First Strike; Fleshcraft R,C,Red,FCP,
Spark Mephit,R,Creature - Elemental,1,1,Haste; Exile ~: Put a Haste counter on target creature; Conjuration 1,C,Red,Arcanum,
Bruiser Apprentice,1R,Creature - Worm,4,1,Armor 1; Suspend 3: 0,C,Red,Morlocks,
Morlock Mercenary,2R,Creature - Worm,4,2,Armor 1;Burrow; Suspend R,C,Red,Morlocks,
Tunnel Mite Swarm,2R,Creature - Pest,3,3,~ has haste if you control a Morlock creature,C,Red,Morlocks,
Battaglia of Focus,R,Enchantment,,,"At the beginning of combat, give up to X target creatures +1/+0 and Haste",C,Red,Arcanum,
Ash Geyser,2R,Instant,,,Deal 2 damage to any target; Retrace,C,Red,Arcanum,
Violence Sprite,R,Creature - Elemental,1,1,Burrow; Sacrifice ~: Deal 1 damage to any target,C,Red,Arcanum,
Explosive Evolution,2R,Enchantment,,,"Sacrifice a creature: Deal X damage to any target, where X is its power. Activate only as a sorcery",C,Red,Morlocks,
Suicidal Charge,1R,Sorcery,,,Creatures you control get +2/+0 until EOT,C,Red,Morlocks,
Charging Chronomancer,R,Creature - Knight Avatar,1,1,"Haste; Whenever a time counter is added or removed, ~ gets +1/+1 until EOT",C,Red,Wanderer,
Cunning Cruelty,1R,Enchantment,,,Wither; Noncombat damage sources have Wither; Sacrifice ~: Deal 1 damage to any target,C,Red,Morlocks,
Recurring Flames,3R,Sorcery,,,Deal 2 damage to any target; Remove this from the game with 3 time counters. It gains suspend,U,Red,Wanderer,
Turn to Ash,2R,Instant,,,"Deal 3 damage divided as you choose among 1, 2, or 3 targets.  Creatures dealt damage this way cannot regenerate this turn",U,Red,Neutral,
Lightning Rider,1R,Creature - Elemental,3,1,Exile ~: Lightning Bolt; Conjuration 2,U,Red,Arcanum,
Morlock Raider,R,Creature - Worm,2,1,Armor 1; Haste; Burrow; Suspend 2: 0,U,Red,Morlocks,
Morlock Bruiser,2R,Creature - Worm,5,2,Armor 1; Burrow; Suspend 3: R,U,Red,Morlocks,
Acid-Drenched Golem,2R,Creature - Human,3,3,Fleshcraft 1R; Damage dealt by ~ cannot be prevented,U,Red,FCP,
Herald of the Claw,R,Creature - Worm,1,1,Armor 1; Burrow; Suspend 2: 0; Other Worms you control get +1/+0,U,Red,Morlocks,
Morlock Marauder,2R,Creature - Worm,4,3,Armor 2; Burrow; Suspend 3: R,U,Red,Morlocks,
Morlock Assassin,3R,Creature - Worm,5,2,Armor 1; First Strike; Burrow; Suspend 3: 0,U,Red,Morlocks,
Pyroclasm,1R,Sorcery,,,Deal 2 damage to each creature,U,Red,,
Wormspawn Matriarch,1R,Creature - Worm,3,2,"Armor 1; When acreature dealt damage this turn by an attacking creature you control dies, make a 2/1 red Worm creature token",U,Red,Morlocks,
Tunnel Sapper,2R,Creature - Worm,2,2,"Armor 1; Burrow; Suspend 3: R; When a time counter is removed from ~, you may make a Mine artifact token with 'When a creature ETBs, you may sacrifice this and deal 1 damage to it'; T: Ping 1",U,Red,Morlocks,
Battaglia of Excitement,2R,Enchantment,,,"At the beginning of your upkeep, look at the top X cards of your library. You may pick a card, exile if face down and play it until the end of your next turn",U,Red,Arcanum,
Excavator,3R,Creature - Worm,2,2,"Armor 3; T, X: Make X 1/1 Tunnel Mite Tokens; Tunnel Mites you control have haste; Burrow; Suspend 5: R",R,Red,Morlocks,
Daggerfang Breachslicer,R,Creature - Worm,1,1,"Burrow; Unblockable; When ~ becomes the target of a spell, Suspend it with 3 time counters; When ~ ETBs, deal 1 damage to any target.",R,Red,Morlocks,
War Profiteering,R,Enchantment,,,"When a creature dies, creature a treasure token and put a counter on ~; Sacrifice ~: Exile the top X cards of your library, where X is the number of counters on ~. Until the end of your next turn, you may play those cards.  Shuffle any unplayed cards into your library",R,Red,Morlocks,
Heinrich the Feral,XR,Creature - Human Cleric,1,1,"Heinrich ETBs with X +1/+1 counters; Exile a non-Cleric Human you control: Put X +1/+1 counters on ~ where X is the exiled creature's Power.  Fleshcraft that creature beneath ~. Use only as a sorcery; T, Remove X +1/+1 counters from ~: You may return a card Fleshcrafted onto ~ with Power X or less to the battlefield. If you don't, create an X/X Human creature token",R,Red,FCP,
Anger of the Gods,1RR,Sorcery,,,Deal 3 damage to all creatures. Creatures that die this way are exiled,R,Red,,
Smiling Hydra,3R,Creature - Human,3,3,Double Strike; Fleshcraft 2R,R,Red,FCP,
Raid Master Panshir,2R,Legendary Creature - Worm,3,2,Armor 1; Burrow; Suspend 3: R; You may pay 0 for the Suspend costs for Worms spells you control,R,Red,Morlocks,
Anvilflame Elemental,3RR,Creature - Elemental,3,3,"Exile ~: Exile your hand. Each other player discards their hand. Each player draws 7. Until the end of your next turn, you may play any of the cards exiled from your hand this way. At the end of your next turn, send them from exile to the GY; Conjuration 3",R,Red,Arcanum,
Battaglia of Destruction,1RR,Enchantment,,,"At the beginning of your upkeep, deal X damage to any target",R,Red,Arcanum,
Shroomin Grunt,G/W,Creature - Fungus,1,1,Sporeborn,C,Gold,Shroomin,
Fresh-spawned Sporeling,0,Creature - Fungus,0,1,Sporeborn,C,Gold,Shroomin,
Return to Form,1U/W,Instant,,,Remove all counters from any number of target permanents,C,Gold,Wanderer,
Shroomin Combatant,1G/W,Creature - Fungus,2,2,Sporeborn,C,Gold,Shroomin,
Aether Herald,X,Creature - Elemental,1,1,"~ is each color of mana that was spent to cast it; Other Elementals you control get +1/+1 for each color they share with ~. ~ ETBs with half X +1/+1 counters on it, rounded down",U,Gold,Arcanum,
Cunning Captain,1G/B,Creature - Fungus,2,2,Sporeborn; Shroomin you control have Wither,U,Gold,Shroomin,
Sporeburster,GW,Creature - Fungus,1,1,Sporeborn; Toxic 1; Wither,U,Gold,Shroomin,
"Drodo, Unififying Dhaman",GW,Creature - Fungus Legendary Shaman,2,2,Sporeborn; T: Evaporate or proliferate,R,Gold,Shroomin,
Shroomin Hydra,2G/W,Creature - Fungus,1,1,"Sporeborn; Toxic 1; ~ has 2 time counters instead of 3 when suspended; When ~ CITP and wasn't cast from your hand, make a copy of it",R,Gold,Shroomin,
Veteran Assassin,1RB,Creature - Worm,2,2,Double Strike; Deathtouch,R,Gold,Morlocks,
Emperor Al'Khazul,2(2/W)B,Legendary Creature - Human Cleric,4,4,"T: Until EOT, you may Fleshcraft target Human creature card from your graveyard. If you do, it ETBs with a Finality counter on it",R,Gold,FCP,
Arcanum of Singularity,3,Legendary Creature - Elemental,*,*,Spend only colored mana to cast ~; ~'s P/T are equal to the number of different names among lands you control; ~ is all colors; Elemental spells you cast cost WUBRG less,R,Gold,Arcanum,
Call the Skybreaker,5 R/U R/U,Sorcery,,,Create a 5/5 blue and red Elemental creature token with flying; Retrace,R,Gold,Arcanum,
Undergrowth Knight,2GW,Creature - Fungus,2,2,"Sporeborn; When a counter is added to or removed from a permanent, put a +1/+1 counter on ~",R,Gold,Shroomin,
Shambling Statue,2,Artifact Creature,2,2,,C,Colorless,,
